username,Name,Rank,Birthday (raw),Birthday,Nationality,Previous Career,ID,Games played,Language,Gender,Account creation date (raw),Account creation date,Sources,Age,Current Active Subs
thegrefg,David Cánovas Martínez,13,"April 24, 1997",4/24/1997,Spanish,,824692,,Spanish,Male,11th Sep 2013,9/11/2013,,,
asmongold,Zach,14,1990,1990,"American",Was in business school for his second business degree (https://www.youtube.com/watch?v=NbX_z3-2l8s),1916890,,English,Male,20th Nov 2011,11/20/2011,,,
sodapoppin,Thomas Jefferson Chance Morris IV,15,"February 15, 1994",2/15/1994,American,N/A,16635,,English,Male,21st Nov 2011,11/21/2011,,,
tfue,Turner Ellis Tenney,16,"January 2, 1998",1/2/1998,American,"Youtuber, then professional fortnite player",201973,,English,Male,1st Apr 2014,4/1/2014,,,
lirik,Saqib Zahid,17,"October 29, 1990",10/29/1990,American,,62277,,English,Male,27th Jun 2011,6/27/2011,,,
trymacs,Maximilian Alexander Curt Stemmler,18,"August 19, 1994",8/19/1994,German,,5021703,,German,Male,14th Jun 2014,6/14/2014,,,
shroud,Michael Grzesiek,19,"June 2, 1994",6/2/1994,Canadian,,614751,,English,Male,3rd Nov 2012,11/3/2012,,,
anomaly,Ludwig Lagerstedt,20,"December 9, 1994",12/9/1994,Swedish,,5255,,English,Male,3rd Dec 2014,12/3/2014,,,
lck_korea,N/A,21,N/A,N/A,N/A,N/A,13241471,,Korean,N/A,14th Jan 2018,1/14/2018,,,
juansguarnizo,Juan Sebastián Guarnizo Algarra,22,"January 11, 1997",1/11/1997,Colombian,,8543782,,Spanish,Male,10th Apr 2016,4/10/2016,,,
alanzoka,Alan Ferreira,23,"May 13, 1990",5/13/1990,	Brazilian,,241979,,Portuguese,Male,5th Dec 2012,12/5/2012,,,
roshtein,Ismael Swartz,24,Unknown,N/A,Swedish,,4554738,,English,Male,6th Oct 2014,10/6/2014,,,
hanryang1125,,25,,N/A,,,8201411,,Korean,Male,6th Oct 2015,10/6/2015,,,
riotgames,N/A,26,N/A,N/A,N/A,N/A,5259,,English,N/A,8th Sep 2012,9/8/2012,,,
dota2ruhub,N/A,27,N/A,N/A,N/A,N/A,1203683,,Russian,N/A,28th Aug 2015,9/28/2015,,,
cohhcarnage,Ben Cassell,28,"June 25, 1984",6/25/1984,American,,5115,,English,Male,6th Dec 2011,12/6/2011,,,
therealknossi,Jens Heinz Richard Knossalla,29,"July 7, 1986",7/7/1986,German,,4219642,,German,Male,20th Sep 2014,9/20/2014,,,
montanablack88,Marcel Eris,30,"March 2, 1988",3/2/1988,German,,201894,,German,Male,21st Jun 2013,6/21/2013,,,
lec,N/A,31,N/A,N/A,N/A,N/A,6155881,,English,N/A,16th May 2016,5/16/2016,,,
lvndmark,Unknown,32,1995,1995,American,,22584174,,English,,2nd Apr 2019,4/2/2019,,,
lcs,N/A,33,N/A,N/A,N/A,N/A,6276720,,English,N/A,16th May 2016,5/16/2016,,,
castro_1021,Edwin Castro,34,"July 21, 1991",7/21/1991,Mexican,,5196,,English,Male,24th Nov 2013,11/24/2013,,,
clix,Cody Conrod ,35,"January 7, 2005",1/7/2005,American,Child,16572872,,English,Male,22nd Jun 2018,6/22/2018,,,
rocketleague,N/A,36,N/A,N/A,N/A,N/A,2311196,,English,N/A,26th Feb 2014,2/26/2014,,,
yoda,Felipe Piller Noronha,37,16 of September of 1995,9/16/1995,Brazilian,Former Professional League of Legends player,10842,,Portuguese,Male,3rd Aug 2013,8/3/2013,,,
fps_shaka,Chikara Kawakami,38,"December 27, 1991",12/27/1991,Japanese,,232516,,Japanese,Male,19th Sep 2013,9/19/2013,,,
csgomc_ru,N/A,39,N/A,N/A,N/A,N/A,21368178,,Russian,N/A,12th Apr 2018,4/12/2018,,,
mizkif,Matthew Rinaudo,40,"February 16, 1995",2/16/1995,American,Unemployed,2385215,,English,Male,28th Jun 2015,6/28/2015,,,
sykkuno,Thomas,41,"June 4, 1992",6/4/1992,American,Software Developer,411312,,English,Male,14th Nov 2011,11/14/2011,,,
symfuhny,Mason Lanier,42,"December 21, 1999",12/21/1999,American,,5027561,,English,Male,27th Jun 2012,6/27/2012,,,
drlupo,Benjamin Lupo,43,"March 20, 1987",3/20/1987,American,Systems engineer,3740,,English,Male,16th Apr 2012,4/16/2012,,,
pestily,Paul,44,"November 6, 1986",11/6/1986,Australian,Australian Military,4135161,,English,Male,3rd Nov 2015,11/3/2015,,,
swagg,Kris Lamberson,45,"May 14, 1996",5/14/1996,American,College student,1144975,,English,Male,26th Jan 2013,1/26/2013,,,
gotaga,Corentin Houssein,46,"September 7, 1993",9/7/1993,French,Professional Call of Duty player,239548,,French,Male,17th Aug 2011,8/17/2011,,,
nobru,Bruno Goes,47,"January 20, 2001",1/20/2001,Brazilian,,27861210,,Portuguese,Male,31st Mar 2020,5/31/2020,,,
moonmoon,Kim Young-shin,48,"June 19, 1988",6/19/1988,South Korean,,5412441,,English,Male,5th Apr 2016,4/5/2016,,,
dota2mc_ru,N/A,49,N/A,N/A,N/A,N/A,16320383,,Russian,N/A,12th Apr 2018,4/12/2018,,,
handongsuk,Han Sung-wook,50,"June 19, 1989",6/19/1989,South Korean,,8459676,,Korean,Male,13th Nov 2016,11/13/2016,,,
evelone192,Vadim Kozakov,51,"July 4, 1996",7/4/1996,Russian,,3627299,,Russian,Male,18th Jan 2013,1/18/2013,,,
myth,Ali Kabbani,52,"May 24, 1999",5/24/1999,American,,5282603,,English,Male,27th Dec 2015,12/27/2015,,,
papaplatte,Kevin Teller,53,AF,N/A,German,,101547,,German,Male,2nd Nov 2013,11/2/2013,,24,
lck,N/A,54,N/A,N/A,N/A,N/A,6125584,,English,N/A,16th May 2016,5/16/2016,,,
quin69,Quintin Crawford,55,"September 25, 1990",9/25/1990,New Zealander,,4913,,English,Male,12th Feb 2014,2/12/2014,,,
stylishnoob4,Yuta Seki,56,"May 6, 1990",5/6/1990,Japanese,,58643,,Japanese,N/A,2nd Nov 2013,11/2/2013,,,
gamesdonequick,N/A,57,N/A,N/A,N/A,,380403,,English,Male,20th May 2011,5/20/2011,,,
ludwig,Ludwig Ahgren,58,"July 6, 1995",7/6/1995,American,,12171601,,English,Male,3rd Mar 2013,3/3/2013,,,
cblol,Rafael Knittel,59,"May 22, 2002",5/22/2002,Brazilian,,614,,Portuguese,Male,28th Sep 2012,9/28/2012,,,
tubbo,Toby Smith,60,"December 23, 2003",12/23/2003,British,,15655323,,English,Male,15th May 2018,5/15/2018,,,
pokimane,Imane Anys,61,"May 14, 1996",5/14/1996,Moroccan-Canadian,,112657,,English,Female,7th Jun 2013,6/7/2013,,,
gmhikaru,Hikaru Nakamura,62,"December 9, 1987",12/9/1987,Japanese,,11184008,,English,Male,29th Sep 2015,9/29/2015,,,
tommyinnit,Thomas Simons,63,"April 9, 2004",4/9/2004,British,,10643505,,English,Male,18th Feb 2016,2/18/2016,,,
jltomy,Toma Abdellaoui,64,"October 4, 1996",10/4/1996,Frence,,11016752,,French,Male,3rd May 2017,5/3/2017,,,
buster,Vyacheslav Leontyev,65,Unknown,N/A,Russian,,4762906,,Russian,Male,25th Mar 2015,3/25/2015,,,
loud_coringa,Victor Augusto,66,"April 27, 1998",4/27/1998,Brazilian,,32760796,,Portuguese,Male,18th Aug 2020,8/18/2020,,,
cellbit,Rafael Lange,67,"February 11, 1997",2/11/1997,Brazilian,,3966453,,Portuguese,Male,27th Feb 2012,2/27/2012,,,
baiano,Gustavo Gomes,68,"April 9, 1994",4/9/1994,Brazilian,,9072198,,Portuguese,Male,30th Nov 2016,11/30/2016,,,
noway4u_sir,Frederik Hinteregger,69,"August 15, 1992",8/15/1992,German,,27769,,German,Male,15th Mar 2015,3/15/2015,,,
fresh,Harley An Long Campbell,70,"March 4, 2002",3/4/2002,Australian,,16007613,,English,Male,18th Dec 2012,12/18/2012,,,
sardoche,Andreas Honnet,71,"June 28, 1993",6/28/1993,French,,934408,,French,Male,28th Oct 2013,8/28/2013,,,
forsen,Sebastian Hans Eli Fors,72,"December 16, 1990",12/16/1990,Swedish,,194103,,English,Male,18th May 2011,5/18/2011,,,
blastpremier,N/A,73,N/A,N/A,N/A,,12560979,,English,N/A,7th Jul 2017,7/7/2017,,,
solary,N/A,74,N/A,N/A,N/A,,12265994,,French,N/A,21st Sep 2017,9/21/2017,,,
elraenn,Tugkan Gontas,75,"January 1, 1987",1/1/1987,Turkish,,11219281,,Turkish,Male,16th Jul 2017,6/16/2017,,,
admiralbahroo,Preston Shimek,76,AF,N/A,American,,4734,,English,,4th Mar 2013,3/4/2013,,29,
trainwreckstv,Matthew Rinaudo,77,"December 20, 1990",12/20/1990,American,,45728,,English,Male,14th Sep 2014,9/14/2014,,,
silvername,Vladislav Sinotov,78,"July 7, 1997",7/7/1997,Russian,,187383,,Russian,Male,28th Aug 2014,8/28/2014,,,
onscreen,Craig Shannon,79,"January 11, 1988",1/11/1988,British,Former professional counterstrike player,126373,,English,Male,30th Dec 2011,12/30/2011,,33,
ogaminglol,N/A,80,N/A,,N/A,,620,,French,N/A,24th Sep 2014,9/24/2014,,,
gorgc,Janne Stefanovski,81,"October 28, 1993",10/28/1993,Swedish,,3691316,,English,Male,28th Nov 2015,11/28/2015,,,
smitegame,N/A,82,N/A,N/A,N/A,,4957,,English,N/A,20th Jun 2012,6/20/2012,,,
reborn_live,N/A,83,N/A,N/A,N/A,,3250020,,Spanish,N/A,14th Dec 2015,12/14/2015,,,
nl_kripp,Octavian Morosan,84,"June 30, 1987",6/30/1987,"Romanian, Canadian",,36400,,English,Male,14th Apr 2012,4/14/2012,,,
beyondthesummit,N/A,85,N/A,N/A,Australian,N/A,16809,,English,N/A,6th Apr 2012,4/6/2012,,,
elded,Victor Paul Calderón,86,"November 23, 1990",11/23/1990,Mexican,,35937,,Spanish,Male,1st Dec 2014,12/1/2014,,,
zanoxvii,Cristiano Spadaccini,87,"March 17, 1996",3/17/1996,Italian,,890587,,Italian,Male,23rd Nov 2014,11/23/2014,,,
dasmehdi,Nino Chaves,88,"April 22, 1984",4/22/1984,American,,27659,,English,Male,22nd Jun 2012,6/22/2012,,,
benjyfishy,Benjy David Fish,89,"April 2, 2004",4/2/2004,British,,11413667,,English,Male,22nd Jul 2014,6/22/2014,,,
kamet0,Kameto,90,"June 27, 1995",6/27/1995,French,,211156,,French,Male,30th Dec 2011,12/30/2011,,,
yassuo,Hammoudi Abdalrhman,91,"June 15, 1999",6/15/1999,American,,5432428,,English,Male,7th Apr 2016,4/7/2016,,,
saddummy,Sae Sae Bom Nyang,92,"September 23, 1988",9/23/1988,South Korean,,8358078,,Korean,Female,29th May 2012,5/29/2012,,,
tsm_imperialhal,Phillip Dosen,93,"May 31, 1999",5/31/1999,American,,11938220,,English,Male,4th Feb 2017,2/4/2017,,,
nickeh30,Nicholas Amyoony,94,"March 14, 1995",3/14/1995,Canadian,,10594172,,English,Male,6th Jun 2013,6/6/2013,,,
lvpes,N/A,95,N/A,N/A,N/A,,613,,Spanish,N/A,11th May 2011,5/11/2011,,,
bugha,Kyle Giersdorf,96,"December 30, 2002",12/30/2002,American,,7580859,,English,Male,12th Feb 2015,2/12/2015,,,
huskerrs,Jordan Thomas,97,"October 4, 1995",10/4/1995,American,,3065610,,English,Male,26th Apr 2012,4/26/2012,,,
gronkh,Erik Range,98,"April 10, 1977",4/10/1977,German,,99482,,German,Male,31st May 2010,5/31/2010,,,
hiko,Spencer Martin,99,"March 6, 1990",3/6/1990,American,Counter-Strike: Global Offensive and Counter-Strike player,129774,,English,Male,23rd Dec 2011,12/23/2011,,,
solaryfortnite,N/A,100,N/A,N/A,N/A,N/A,13948864,,French,N/A,26th Feb 2018,2/26/2018,,,
